soil_moisture,temperature,time,air_temperature,air_humidity,pressure,status
13,4,23,19.02,29.64,101.34,1
42,18,39,19.0,29.5,101.35,1
72,21,63,19.04,29.16,101.35,0
21,33,5,19.07,28.81,101.35,1
14,4,28,19.11,28.47,101.35,1
16,19,40,19.11,28.2,101.35,1
11,9,104,19.1,27.92,101.36,0
7,17,17,19.1,27.65,101.36,0
56,3,90,19.1,27.38,101.37,1
42,19,11,18.87,27.66,101.37,1
78,41,62,18.64,27.93,101.37,1
16,37,48,18.48,28.11,101.36,1
87,14,86,18.31,28.29,101.36,0
22,22,94,18.46,27.32,101.36,0
77,41,89,18.62,26.36,101.37,1
45,31,15,18.72,25.4,101.38,1
84,39,21,18.81,24.45,101.38,0
12,3,34,19.04,23.14,101.38,1
17,40,5,19.27,21.83,101.39,1
12,35,1,19.36,21.06,101.4,1
6,40,92,19.45,20.29,101.41,0
21,4,39,19.42,20.58,101.42,1
71,41,11,19.38,20.88,101.43,0
17,27,15,19.33,21.33,101.44,1
67,24,79,19.28,21.78,101.44,0
34,24,84,19.24,22.22,101.44,0
68,13,105,19.19,22.67,101.45,0
52,3,0,19.26,22.7,101.46,0
80,18,59,19.32,22.74,101.46,0
11,11,7,19.6,22.42,101.46,1
63,27,22,19.89,22.11,101.46,0
88,43,86,20.28,22.04,101.46,1
79,21,71,20.68,21.97,101.47,0
2,37,28,21.21,21.44,101.48,1
49,33,72,21.74,20.9,101.49,1
64,27,94,22.44,20.58,101.49,0
71,36,68,23.13,20.27,101.49,1
51,27,89,23.76,19.5,101.49,1
67,26,25,24.4,18.73,101.5,0
12,0,2,25.04,17.96,101.5,0
67,3,95,25.67,17.2,101.51,0
54,31,88,26.3,16.43,101.52,1
49,33,86,26.94,15.66,101.52,1
24,29,36,27.38,14.2,101.52,1
27,18,21,27.83,12.75,101.52,1
50,35,18,28.14,12.24,101.52,1
51,26,4,28.46,11.74,101.53,1
38,26,16,28.94,11.29,101.54,1
23,45,106,29.42,10.84,101.55,0
27,29,88,29.82,10.43,101.55,1
72,39,87,30.22,10.02,101.55,1
89,19,18,30.54,9.84,101.55,0
36,28,36,30.86,9.65,101.55,1
4,5,63,31.27,9.33,101.56,1
21,37,32,31.69,9.01,101.56,1
8,37,103,32.1,8.7,101.56,0
5,27,22,32.51,8.38,101.57,1
1,10,67,32.93,8.06,101.58,1
2,40,36,33.34,7.74,101.58,1
63,35,106,33.28,7.15,101.58,0
17,39,18,33.23,6.56,101.59,1
33,19,103,33.62,6.36,101.58,0
21,6,74,34.01,6.17,101.58,1
84,29,41,34.36,5.97,101.58,1
35,28,73,34.71,5.77,101.58,1
81,4,21,35.04,5.66,101.57,0
44,41,6,35.37,5.56,101.56,1
53,6,73,35.04,5.48,101.56,1
25,18,21,34.71,5.41,101.55,1
22,28,40,35.13,5.28,101.55,1
57,44,25,35.55,5.14,101.55,1
15,25,57,35.55,5.13,101.54,1
33,23,93,35.55,5.12,101.54,0
20,25,28,36.0,4.88,101.54,0
52,13,105,36.46,4.64,101.54,0
47,2,80,36.39,4.66,101.54,0
63,40,25,36.33,4.69,101.53,0
48,11,69,36.33,4.48,101.52,0
15,34,57,36.32,4.28,101.51,1
87,37,52,36.32,4.07,101.5,1
30,27,28,36.31,3.86,101.49,1
89,31,3,36.53,3.92,101.48,0
28,1,71,36.76,3.97,101.47,0
87,1,32,37.06,3.88,101.46,0
41,23,5,37.36,3.8,101.46,1
58,42,21,37.69,3.72,101.45,1
73,10,21,38.02,3.65,101.44,0
84,2,62,37.6,3.51,101.43,0
90,19,55,37.17,3.38,101.42,1
90,44,30,36.66,3.75,101.41,0
29,35,76,36.15,4.12,101.4,1
65,5,13,35.44,4.32,101.38,0
70,0,3,34.72,4.53,101.37,0
70,32,62,34.78,4.85,101.36,1
6,8,109,34.85,5.17,101.35,0
86,1,92,34.93,4.87,101.34,0
90,17,11,35.01,4.57,101.34,0
22,32,34,35.45,4.49,101.33,1
7,24,56,35.89,4.4,101.32,1
73,32,106,36.3,3.99,101.32,0
78,23,106,36.71,3.57,101.31,0
26,26,54,36.77,3.71,101.3,1
2,28,106,36.83,3.85,101.3,0
48,5,44,36.7,3.97,101.28,1
31,45,79,36.56,4.09,101.27,1
4,7,78,36.36,4.35,101.26,1
71,22,21,36.15,4.61,101.25,0
74,6,73,36.2,4.62,101.24,0
58,20,67,36.25,4.63,101.23,0
76,3,78,36.12,4.7,101.22,0
78,36,99,36.0,4.77,101.21,0
5,14,88,35.88,4.84,101.2,1
8,32,110,35.75,4.91,101.19,0
31,6,94,35.59,4.59,101.18,0
30,34,78,35.43,4.27,101.18,1
58,25,27,35.48,4.22,101.17,1
28,9,19,35.52,4.17,101.16,1
19,16,22,35.52,4.06,101.15,0
26,15,84,35.52,3.96,101.14,1
51,37,10,35.42,3.88,101.14,1
4,45,110,35.33,3.8,101.13,0
80,25,19,35.24,3.98,101.12,0
68,24,17,35.15,4.17,101.11,0
8,9,16,35.34,4.12,101.1,0
53,35,75,35.52,4.06,101.1,1
79,32,19,35.53,3.96,101.1,0
68,5,10,35.55,3.87,101.09,0
76,37,32,35.4,3.7,101.08,0
34,18,49,35.25,3.53,101.08,1
28,0,10,35.35,3.34,101.06,0
62,36,4,35.24,2.96,101.06,1
88,27,63,35.13,2.58,101.05,1
1,23,66,35.03,2.74,101.05,1
25,0,14,34.92,2.9,101.05,0
40,2,30,34.83,2.88,101.04,1
77,22,100,34.73,2.86,101.04,0
66,22,87,34.74,2.99,101.04,1
52,21,8,34.76,3.12,101.04,1
84,34,98,34.7,3.08,101.04,0
26,7,21,34.63,3.05,101.04,1
38,34,34,34.56,3.1,101.04,1
48,24,19,34.49,3.16,101.04,1
12,20,108,34.48,3.52,101.04,0
51,0,2,34.46,3.87,101.04,0
83,26,86,34.26,3.7,101.04,1
64,3,84,34.07,3.52,101.04,0
35,10,15,33.83,3.5,101.04,1
81,17,17,33.58,3.48,101.03,0
47,15,107,33.44,3.6,101.02,0
18,40,32,33.31,3.72,101.02,1
54,40,44,33.13,3.88,101.02,1
60,18,42,32.95,4.05,101.02,1
20,38,21,32.82,4.17,101.02,1
39,16,82,32.69,4.29,101.02,0
19,17,5,32.64,4.14,101.02,1
61,16,84,32.59,3.98,101.02,0
40,28,9,32.45,3.94,101.02,1
37,4,69,32.3,3.9,101.03,0
61,14,83,32.16,3.86,101.03,0
70,8,44,32.02,3.82,101.03,0
40,43,20,31.87,3.78,101.04,1
84,6,57,31.73,3.74,101.04,1
60,30,79,31.54,3.86,101.04,1
5,29,92,31.34,3.99,101.04,0
8,25,66,31.15,4.12,101.04,1
58,44,23,30.96,4.24,101.04,1
1,27,69,30.75,4.5,101.04,1
65,7,108,30.54,4.75,101.05,0
50,35,109,30.44,4.79,101.06,0
2,15,94,30.35,4.83,101.06,0
28,17,19,30.13,5.22,101.08,0
56,13,81,29.91,5.61,101.09,1
35,29,101,29.58,6.22,101.1,0
16,8,58,29.24,6.82,101.1,1
90,7,4,29.03,7.38,101.11,0
33,44,31,28.83,7.93,101.12,1
40,38,32,28.68,8.25,101.12,1
75,15,51,28.54,8.56,101.13,0
43,41,87,28.34,9.15,101.14,1
87,15,47,28.14,9.74,101.15,0
90,44,35,28.22,9.64,101.16,0
67,27,9,28.3,9.54,101.17,1
83,24,59,28.09,10.34,101.18,1
85,12,55,27.88,11.15,101.18,1
62,23,22,27.74,11.73,101.18,0
88,38,101,27.61,12.3,101.17,0
10,30,61,27.38,13.09,101.18,1
20,39,97,27.16,13.88,101.19,0
62,12,36,26.84,14.36,101.2,0
50,26,102,26.52,14.83,101.2,0
35,45,11,26.29,14.93,101.21,1
83,20,49,26.06,15.04,101.22,0
5,0,2,25.94,15.08,101.24,0
27,12,99,25.81,15.12,101.25,0
34,21,48,25.73,15.58,101.25,1
32,3,4,25.65,16.05,101.25,0
30,28,91,25.59,16.13,101.25,0
63,8,60,25.53,16.22,101.25,0
61,20,96,25.51,15.56,101.25,0
60,36,40,25.49,14.89,101.25,1
54,24,55,25.63,14.34,101.26,1
71,26,4,25.77,13.78,101.26,0
14,45,89,25.8,13.56,101.26,1
39,15,26,25.82,13.34,101.27,1
40,37,36,25.74,13.36,101.27,1
50,1,99,25.65,13.38,101.27,0
73,9,100,25.64,13.32,101.28,0
37,41,73,25.62,13.25,101.28,1
43,0,69,25.38,14.4,101.28,0
76,29,9,25.15,15.54,101.28,0
53,36,108,25.04,16.4,101.28,0
71,9,82,24.94,17.26,101.28,0
26,9,53,24.83,18.12,101.28,1
12,41,44,24.82,18.26,101.28,1
67,13,93,24.82,18.41,101.28,0
17,45,85,24.84,18.22,101.28,1
26,38,75,24.85,18.02,101.28,1
78,39,63,24.91,17.3,101.28,1
30,27,104,24.97,16.58,101.28,0
20,5,50,24.88,16.43,101.28,1
79,28,107,24.79,16.29,101.29,0
40,17,49,24.66,16.19,101.28,1
10,11,82,24.52,16.09,101.28,1
84,8,93,24.45,15.62,101.28,0
11,8,110,24.38,15.14,101.28,0
63,28,95,24.29,14.94,101.28,0
40,2,101,24.2,14.75,101.28,0
33,37,62,24.11,14.77,101.28,1
75,11,107,24.02,14.79,101.28,0
24,30,3,23.82,15.1,101.28,1
65,15,94,23.62,15.41,101.28,0
35,25,94,23.51,15.27,101.28,0
44,15,68,23.4,15.13,101.28,1
39,1,96,23.33,15.57,101.28,0
13,35,58,23.26,16.0,101.27,1
20,45,95,23.1,18.12,101.26,0
82,0,107,22.94,20.25,101.26,0
72,5,46,22.85,20.45,101.26,0
56,30,35,22.76,20.65,101.26,1
14,44,94,22.56,21.04,101.26,0
25,10,24,22.36,21.44,101.26,1
13,6,71,22.42,20.72,101.25,1
43,43,91,22.47,19.99,101.24,0
62,1,98,22.41,19.48,101.24,0
56,36,60,22.35,18.97,101.24,1
60,10,41,22.46,18.12,101.24,0
89,7,35,22.58,17.26,101.23,0
46,23,41,22.69,16.78,101.22,1
8,29,7,22.8,16.31,101.22,1
13,10,63,22.77,16.06,101.22,1
55,35,16,22.74,15.82,101.21,1
65,27,62,22.6,16.02,101.2,1
34,33,5,22.46,16.22,101.2,1
55,17,51,22.24,16.61,101.2,1
32,10,79,22.03,17.0,101.2,1
60,38,41,21.86,17.4,101.2,1
80,21,9,21.69,17.8,101.21,0
22,16,97,21.44,18.58,101.2,0
2,21,62,21.19,19.35,101.2,1
31,8,33,21.12,20.23,101.2,0
59,11,40,21.04,21.1,101.2,0
27,6,75,21.38,20.2,101.2,0
42,40,102,21.71,19.31,101.19,0
19,31,54,21.76,19.27,101.2,1
37,43,37,21.81,19.23,101.2,1
17,16,55,21.64,19.92,101.2,1
42,22,38,21.46,20.61,101.2,1
90,39,61,21.37,20.76,101.2,1
27,9,26,21.28,20.92,101.2,0
12,1,96,21.33,20.92,101.2,0
26,13,90,21.38,20.92,101.2,1
35,19,95,21.28,21.41,101.2,0
84,45,65,21.19,21.9,101.21,1
44,43,107,21.16,22.01,101.21,0
90,28,78,21.13,22.12,101.21,0
6,15,47,21.02,22.5,101.21,1
70,23,20,20.92,22.88,101.21,0
76,18,34,20.82,23.25,101.21,0
7,3,59,20.71,23.63,101.21,1
87,12,5,20.72,23.19,101.21,0
86,33,66,20.72,22.74,101.21,1
64,28,49,20.73,22.3,101.21,1
15,38,90,20.74,21.86,101.21,1
18,44,84,20.6,22.1,101.22,1
50,24,53,20.46,22.33,101.22,0
36,11,99,20.38,22.6,101.22,0
81,32,52,20.3,22.88,101.22,1
66,38,105,20.22,23.15,101.22,0
86,4,1,20.14,23.42,101.22,0
5,0,104,20.12,23.38,101.22,0
85,28,20,20.09,23.34,101.22,0
14,12,73,20.01,23.66,101.22,1
32,34,50,19.93,23.99,101.22,1
3,42,21,19.85,24.31,101.22,1
20,19,75,19.62,25.28,101.22,1
53,12,36,19.4,26.25,101.23,1
9,34,58,19.21,26.8,101.24,1
6,32,55,19.02,27.36,101.24,1
79,8,48,18.74,28.08,101.24,0
76,39,69,18.45,28.79,101.25,1
77,23,108,18.28,29.61,101.25,0
63,45,13,18.11,30.43,101.25,0
3,5,7,18.01,30.62,101.25,0
40,3,63,17.91,30.8,101.25,0
31,20,96,18.06,29.96,101.26,0
90,5,2,18.22,29.13,101.27,0
8,27,27,18.24,28.95,101.28,1
37,1,96,18.25,28.77,101.29,0
22,4,25,18.24,28.24,101.3,1
70,30,99,18.22,27.7,101.3,0
84,32,107,18.26,27.26,101.3,0
29,39,98,18.3,26.83,101.3,0
18,15,103,18.32,26.9,101.31,0
82,11,93,18.33,26.98,101.32,0
86,29,58,18.34,27.06,101.33,1
12,21,109,18.36,27.13,101.34,0
64,11,90,18.58,26.56,101.34,1
16,20,60,18.8,25.98,101.34,1
47,9,57,19.12,25.23,101.34,0
51,16,17,19.44,24.48,101.35,1
5,5,49,19.71,23.94,101.35,1
90,19,38,19.98,23.4,101.36,0
32,0,90,20.46,22.37,101.36,0
16,22,40,20.94,21.34,101.36,1
42,30,91,21.43,20.3,101.36,0
86,32,34,21.91,19.27,101.36,0
86,9,17,22.48,18.02,101.37,0
80,3,30,23.06,16.76,101.38,0
58,43,36,23.64,15.44,101.38,1
90,37,60,24.22,14.13,101.38,1
78,44,72,24.66,13.18,101.38,1
38,26,73,25.1,12.22,101.38,1
39,23,60,25.65,11.43,101.38,1
9,8,103,26.19,10.64,101.39,0
73,37,35,26.74,9.84,101.4,0
77,0,72,27.3,9.03,101.4,0
16,17,12,27.61,8.72,101.41,0
56,37,68,27.92,8.41,101.42,1
8,4,56,28.06,8.38,101.42,1
27,45,92,28.2,8.34,101.43,0
29,8,64,28.35,8.3,101.43,1
17,10,88,28.49,8.27,101.43,1
60,43,64,28.8,7.94,101.43,1
20,15,57,29.12,7.6,101.43,1
82,43,102,29.65,7.26,101.44,0
59,25,96,30.17,6.91,101.44,0
46,13,54,30.53,6.69,101.45,0
35,37,87,30.9,6.46,101.46,1
67,39,0,31.26,6.24,101.46,1
76,37,60,31.62,6.02,101.47,1
2,45,70,31.62,5.68,101.47,1
20,30,104,31.62,5.33,101.47,0
36,29,62,31.92,5.12,101.47,1
86,24,93,32.21,4.92,101.47,0
7,5,92,32.44,4.72,101.46,0
82,34,4,32.66,4.53,101.46,0
20,27,67,33.02,4.32,101.46,1
65,27,19,33.38,4.11,101.45,0
32,11,54,33.16,4.11,101.44,0
72,7,51,32.94,4.11,101.44,1
73,44,79,33.2,4.08,101.44,1
8,32,15,33.45,4.05,101.43,1
7,31,58,33.65,3.86,101.42,1
58,17,94,33.84,3.67,101.41,0
68,12,65,34.03,3.66,101.4,0
65,37,15,34.22,3.66,101.4,0
31,37,11,34.36,3.56,101.39,1
54,42,80,34.51,3.45,101.38,1
12,32,93,34.57,3.29,101.36,0
78,37,70,34.63,3.13,101.35,1
72,16,105,34.75,3.02,101.34,0
17,33,65,34.86,2.91,101.34,1
11,41,110,34.76,2.93,101.33,0
64,9,110,34.66,2.95,101.32,0
72,44,93,34.74,2.76,101.31,0
22,18,51,34.81,2.58,101.3,0
36,38,75,34.3,2.76,101.29,1
18,17,10,33.8,2.94,101.28,0
84,42,85,33.34,3.16,101.27,1
21,45,39,32.89,3.38,101.26,1
56,20,36,32.86,3.64,101.25,1
73,4,61,32.83,3.91,101.24,1
79,21,30,33.33,3.63,101.24,0
56,27,45,33.82,3.35,101.23,1
82,43,87,33.83,3.38,101.22,1
77,42,15,33.83,3.41,101.21,0
79,16,86,34.0,3.35,101.2,0
10,44,45,34.18,3.29,101.2,1
57,6,48,34.48,3.23,101.19,0
68,17,69,34.77,3.17,101.18,0
46,1,28,34.58,3.02,101.18,0
83,16,82,34.38,2.88,101.17,0
26,23,107,34.13,3.16,101.16,0
78,24,81,33.88,3.43,101.15,1
7,29,22,34.12,3.4,101.15,1
48,2,97,34.37,3.37,101.14,0
34,0,55,34.07,3.49,101.13,0
48,3,71,33.77,3.6,101.12,0
5,27,47,33.76,3.53,101.12,1
15,36,52,33.76,3.46,101.11,1
48,2,69,33.76,3.39,101.1,0
48,41,19,33.75,3.32,101.1,1
74,24,101,33.55,3.34,101.09,0
10,42,99,33.35,3.36,101.08,0
23,0,43,33.39,3.13,101.08,0
35,3,1,33.42,2.9,101.08,0
74,3,26,33.54,3.06,101.07,0
17,16,21,33.67,3.21,101.07,0
37,4,68,33.72,3.3,101.07,0
77,6,68,33.77,3.39,101.07,0
44,2,0,33.77,3.53,101.06,0
62,8,57,33.77,3.66,101.06,0
70,24,5,33.76,3.35,101.05,0
19,2,70,33.74,3.04,101.04,1
9,44,90,33.72,3.22,101.04,1
50,35,78,33.7,3.41,101.04,1
65,41,62,33.67,3.6,101.03,1
9,24,34,33.65,3.78,101.03,1
42,10,17,33.45,3.68,101.03,1
22,17,43,33.25,3.58,101.02,1
57,17,13,33.04,3.49,101.02,1
25,44,94,32.84,3.39,101.02,0
25,34,59,32.75,3.4,101.02,1
16,16,28,32.66,3.4,101.02,0
79,45,93,32.56,3.4,101.02,0
84,7,61,32.47,3.41,101.02,0
2,31,40,32.38,3.42,101.01,1
33,26,99,32.29,3.42,101.01,0
80,29,32,32.19,3.42,101.01,0
86,34,71,32.1,3.43,101.01,1
30,24,110,31.95,3.66,101.01,0
86,27,98,31.8,3.89,101.02,0
1,18,59,31.66,4.12,101.02,1
45,7,15,31.51,4.34,101.02,1
53,6,98,31.36,4.57,101.03,0
39,34,6,31.21,4.8,101.03,1
2,20,47,30.98,5.4,101.02,1
50,23,47,30.76,6.0,101.02,0
41,5,10,30.55,5.78,101.02,1
76,7,51,30.34,5.56,101.03,0
11,7,65,30.18,5.58,101.03,1
59,5,97,30.02,5.61,101.03,0
80,43,98,29.8,5.9,101.04,0
21,36,72,29.58,6.19,101.04,1
37,16,57,29.35,6.48,101.05,0
20,35,85,29.13,6.77,101.06,1
74,7,101,28.82,7.57,101.06,0
52,19,3,28.52,8.37,101.06,1
17,26,70,28.24,8.67,101.06,1
20,37,20,27.97,8.97,101.07,1
31,2,102,27.86,8.16,101.07,0
5,43,42,27.76,7.35,101.07,1
61,1,73,27.68,6.88,101.07,1
70,35,78,27.61,6.41,101.07,1
62,28,66,27.42,6.67,101.06,1
55,40,27,27.23,6.93,101.06,1
65,14,3,26.97,7.48,101.06,1
83,33,19,26.71,8.02,101.06,0
52,7,14,26.63,8.32,101.07,1
40,44,29,26.55,8.63,101.08,1
87,0,82,26.44,8.72,101.08,0
77,17,50,26.32,8.81,101.09,0
74,7,23,26.12,9.0,101.1,0
36,14,96,25.93,9.18,101.11,0
3,1,26,25.96,9.11,101.12,0
12,42,30,26.0,9.04,101.13,1
54,26,8,26.05,8.93,101.14,1
32,45,105,26.1,8.81,101.14,0
28,24,66,26.05,8.85,101.15,1
89,41,85,26.0,8.88,101.15,1
60,21,101,25.92,9.12,101.16,0
55,19,79,25.85,9.35,101.16,0
85,35,90,25.72,9.66,101.18,1
80,38,89,25.6,9.97,101.19,1
74,32,108,25.54,10.24,101.2,0
24,5,50,25.49,10.5,101.2,1
29,43,62,25.43,10.95,101.2,1
49,41,30,25.37,11.4,101.21,1
43,18,0,25.14,11.9,101.22,1
5,28,9,24.91,12.4,101.22,1
71,14,76,24.66,12.8,101.22,1
49,24,48,24.4,13.2,101.23,1
40,10,106,24.4,13.39,101.23,0
21,23,95,24.4,13.58,101.23,0
17,11,83,24.26,14.26,101.24,1
13,31,82,24.13,14.94,101.24,1
59,28,33,24.04,15.38,101.25,1
63,38,92,23.95,15.81,101.26,0
82,26,67,23.87,16.02,101.26,0
75,12,16,23.79,16.23,101.27,0
57,31,20,23.65,16.53,101.27,1
83,21,29,23.51,16.83,101.27,0
39,45,47,23.47,16.6,101.27,1
65,23,64,23.43,16.38,101.27,1
54,38,46,23.22,16.54,101.27,1
10,28,103,23.01,16.69,101.27,0
8,27,41,23.06,16.48,101.26,1
28,29,102,23.11,16.28,101.26,0
19,33,22,23.0,16.45,101.26,1
70,28,43,22.89,16.63,101.26,1
31,12,60,22.64,16.92,101.26,1
83,22,2,22.39,17.22,101.27,0
6,41,103,22.36,17.12,101.27,0
29,11,10,22.33,17.01,101.27,1
72,24,19,22.3,16.97,101.28,0
14,27,87,22.27,16.92,101.28,1
31,23,34,22.2,17.72,101.28,1
7,17,99,22.12,18.52,101.28,0
34,11,103,22.08,19.08,101.28,0
39,9,93,22.03,19.64,101.28,0
88,15,78,21.72,21.18,101.28,0
12,44,88,21.41,22.71,101.28,1
90,29,61,21.23,23.61,101.28,1
26,22,1,21.05,24.51,101.28,1
11,27,5,21.11,24.38,101.28,1
74,17,39,21.17,24.25,101.28,0
71,15,104,21.13,23.97,101.28,0
43,43,73,21.1,23.7,101.28,1
84,32,20,21.06,23.42,101.27,0
44,19,88,21.02,23.14,101.27,0
42,24,75,20.85,23.42,101.27,1
20,37,46,20.67,23.69,101.26,1
36,17,98,20.5,23.96,101.26,0
26,2,14,20.33,24.24,101.26,1
20,44,97,20.29,24.1,101.25,0
11,41,19,20.25,23.97,101.24,1
49,19,104,20.19,23.94,101.24,0
49,16,10,20.13,23.91,101.24,1
39,37,21,20.07,23.88,101.24,1
83,32,56,19.9,24.06,101.24,1
40,34,2,19.74,24.25,101.23,1
2,25,13,19.66,24.32,101.24,1
85,24,71,19.58,24.4,101.24,0
35,20,1,19.34,25.15,101.24,1
36,32,61,19.1,25.9,101.23,1
75,31,0,19.09,25.85,101.22,0
71,12,15,19.08,25.81,101.22,0
81,28,48,19.01,25.6,101.21,1
18,36,17,18.94,25.39,101.2,1
21,25,89,18.96,24.76,101.2,1
46,19,108,18.99,24.14,101.19,0
60,25,24,19.02,23.64,101.18,0
12,28,100,19.04,23.13,101.17,0
13,0,72,18.98,22.65,101.17,1
82,11,47,18.93,22.17,101.17,0
27,41,50,18.99,21.66,101.16,1
9,2,16,19.06,21.14,101.15,1
62,7,75,19.07,20.74,101.15,1
82,31,2,19.08,20.33,101.14,0
51,35,79,19.02,20.26,101.14,1
61,0,79,18.95,20.18,101.13,0
89,12,19,18.78,20.86,101.12,0
56,5,4,18.61,21.54,101.12,0
13,37,1,18.52,21.96,101.12,1
19,38,22,18.44,22.38,101.12,1
90,22,13,18.35,22.81,101.12,0
60,41,103,18.26,23.23,101.12,0
39,7,78,18.38,22.28,101.12,0
72,15,86,18.49,21.32,101.11,1
90,37,105,18.52,20.45,101.1,0
44,34,35,18.55,19.59,101.1,1
73,19,21,18.54,19.21,101.1,0
71,27,53,18.52,18.83,101.1,1
55,36,110,18.4,19.38,101.1,0
70,7,28,18.28,19.93,101.11,0
35,25,21,18.04,20.98,101.12,1
25,33,6,17.8,22.04,101.12,1
26,14,10,17.65,22.72,101.12,1
53,36,33,17.5,23.41,101.11,1
86,3,54,17.38,23.49,101.11,0
2,5,94,17.27,23.57,101.11,0
28,21,57,17.28,22.52,101.11,1
15,37,81,17.29,21.48,101.11,1
36,17,81,17.37,20.2,101.11,0
35,34,46,17.45,18.92,101.11,1
54,22,12,17.56,18.41,101.11,1
72,25,98,17.68,17.9,101.11,0
86,44,51,17.7,17.65,101.11,1
34,14,40,17.71,17.4,101.11,1
36,29,105,17.55,17.57,101.11,0
55,23,28,17.38,17.74,101.11,1
42,7,58,17.29,17.83,101.12,1
28,40,10,17.21,17.92,101.12,1
44,37,65,17.12,18.01,101.13,1
5,28,49,16.96,18.41,101.14,1
42,9,61,16.81,18.81,101.14,0
81,15,26,16.89,18.82,101.14,0
4,33,97,16.96,18.84,101.15,0
63,28,50,17.04,18.86,101.16,1
3,26,35,17.12,18.87,101.16,1
88,41,95,17.03,19.08,101.17,0
10,40,72,16.94,19.28,101.18,1
35,24,90,16.76,19.88,101.18,1
19,23,55,16.59,20.48,101.19,1
70,9,54,16.55,20.8,101.2,1
34,37,83,16.51,21.12,101.2,1
61,41,1,16.33,21.62,101.2,1
40,38,37,16.14,22.11,101.21,1
70,32,107,16.0,22.56,101.22,0
26,37,65,15.85,23.01,101.23,1
31,24,85,15.77,23.2,101.24,1
74,2,22,15.69,23.38,101.26,0
30,25,66,15.89,22.62,101.26,1
47,2,64,16.09,21.85,101.27,1
14,8,33,16.4,21.06,101.26,0
88,41,37,16.72,20.26,101.26,0
52,7,84,16.99,20.1,101.26,1
66,2,76,17.26,19.94,101.26,0
44,23,35,17.7,19.34,101.27,1
74,1,10,18.15,18.75,101.28,0
89,29,106,18.73,17.99,101.28,0
32,29,95,19.31,17.24,101.29,0
33,8,80,19.94,16.27,101.3,0
55,28,44,20.57,15.31,101.31,1
5,35,8,21.18,14.57,101.32,1
84,5,87,21.8,13.83,101.33,1
30,27,103,22.41,13.09,101.34,0
81,12,16,23.02,12.35,101.35,0
66,37,9,23.67,11.86,101.36,1
56,40,58,24.32,11.37,101.37,1
89,44,56,24.96,10.36,101.37,1
43,14,54,25.6,9.34,101.37,1
52,45,20,26.06,8.85,101.38,1
40,24,23,26.52,8.36,101.39,0
35,43,21,27.06,8.13,101.4,1
65,14,65,27.59,7.9,101.4,0
30,37,98,28.14,6.9,101.41,0
63,41,0,28.69,5.91,101.42,1
58,25,18,29.15,5.4,101.43,1
45,41,30,29.61,4.88,101.43,1
